City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,ahipara,-35.17,173.16,61.54,67,0,14.2,NZ,1577571102
255,raudeberg,61.99,5.14,48.99,81,100,31.09,NO,1577571102
256,carbonear,47.73,-53.24,33.01,98,90,17.22,CA,1577571102
257,pathein,16.78,94.73,71.76,69,31,3.94,MM,1577570914
258,gushikawa,26.35,127.87,66.2,68,75,5.82,JP,1577571103
259,antofagasta,-23.65,-70.4,72.0,72,40,16.11,CL,1577571103
260,kalmunai,7.42,81.82,80.01,69,100,13.51,LK,1577571103
261,quatre cocos,-20.21,57.76,77.0,86,100,7.0,MU,1577571103
262,sfantu gheorghe,44.65,26.83,37.99,100,100,2.24,RO,1577571103
263,natal,-5.81,-35.21,80.6,74,40,14.99,BR,1577571104
264,bani walid,31.76,14.0,52.45,84,4,13.18,LY,1577571104
265,faya,18.39,42.45,51.8,87,1,4.7,SA,1577571104
266,nizwa,22.93,57.53,60.39,72,0,1.88,OM,1577571105
267,taltal,-25.41,-70.49,65.75,66,77,6.49,CL,1577571105
268,kavaratti,10.57,72.64,83.08,71,94,4.34,IN,1577571105
269,sudbury,46.49,-80.99,32.0,84,75,11.41,CA,1577570938
270,tirumullaivasal,11.24,79.84,79.25,78,87,15.86,IN,1577571105
271,baraki barak,33.97,68.95,28.4,63,1,6.93,AF,1577571106
272,marathon,48.72,-86.38,28.4,68,75,2.24,CA,1577571106
273,valparaiso,41.47,-87.06,46.99,81,90,11.41,US,1577571106
274,yar-sale,66.83,70.83,-13.88,92,21,9.01,RU,1577571106
275,hasaki,35.73,140.83,28.4,86,20,1.12,JP,1577570937
276,alice springs,-23.7,133.88,86.0,33,0,13.76,AU,1577571107
277,saint-francois,46.42,3.91,41.0,80,90,4.7,FR,1577570925
278,yumen,40.29,97.04,12.07,79,100,5.91,CN,1577571107
279,husavik,50.56,-96.99,21.99,81,100,3.58,CA,1577570879
280,jackson,43.48,-110.76,19.4,67,75,3.36,US,1577570935
